Crop Group,Common Name,Scientific Name
Cereals,,
,Rice,Oryza sativa L.
,Maize,Zea mays L.
,Wheat,Triticum aestivum L.
,Barley,Hordeum vulgare L.
,Naked barley,Hordeum vulgare L. var. nudum Hook.f.
,Finger millet,Eleusine coracana Gaertn.
,Buckwheat,Fagopyrum esculentum Moench
Legumes,,
,Lentil,Lens esculentus Moench
,Chickpea,Cicer arietinum L.
,Soybean,Glycine max (L.) Merr.
,Pigeon pea,Cajanus cajan (L.) Millsp.
,Blackgram,Vigna mungo (L.) Hepper
,Cowpea,Vigna unguiculata (L.) Walp.
,Mung bean,Vigna radiata L.
Oilseeds,,
,Rape seed (Tori),Brassica campestris (L.) var. toria Duth & Full
,Mustard (Rayo),Brassica juncea (L.) Czern & Coss.
,Niger,Guizotia abyssinica (L.) Coss.
,Sesame,Sesamum indicum L.
,Groundnut,Arachis hypogaea L.
Industrial crops,,
,Sugarcane,Saccharum officinarum L.
,Jute,Corchorus capsularis L.
,Ginger,Zingiber officinale Rosc.
,Turmeric,Curcuma longa L.
,Cotton,Gossypium arboreum L.
,Tobacco,Nicotiana tabacum L.
,Potato,Solanum tuberosum L.
Vegetables,,
,Cauliflower,Brassica oleracea (L.) var. botrytis L.
,Crop Group,Common Name
,Broccoli,Brassica oleracea (L.) var. italica Plenck
,Radish,Raphanus sativus L.
,Broad leaf mustard,Brassica juncea var. rugosa
,Turnip,Brassica rapa L.
,Onion,Allium cepa L.
,Tomato,Solanum lycopersicum L.
,Carrot,Daucus carota L.
,Cabbage,Brassica oleracea (L.) var. capitata L.
,Asparagus Bean,Vigna unguiculata subsp. sesquipedalis (L.) Verdc.
,Pole bean,Phaseolus vulgaris L.
,Pea,Pisum sativum L.
,Capsicum,Capsicum annuum L. var. annuum
,Chilli,Capsicum frutescens L.
,Brinjal,Solanum melongena L.
,Swiss chard,Beta vulgaris ssp. cicia L.
,Spinach,Spinacia oleracea L.
,Lady's finger,Abelmoschus esculentus (L.) Moench
,Cucumber,Cucumis sativus L.
,Squash,Cucurbita pepo L.
,Watermelon,Citrulus vulgaris Schrad.
,Pumpkin,Cucurbita moschata Duchesne ex Poir.
,Bottle gourd,Lagenaria siceraria (Molina) Standl.
,Bitter gourd,Memordica charantia L.
,Sponge gourd,Luffa cylindrica (L.) Roem
,Ridge gourd,Luffa acutangula (L.) Roxb.
,Snake gourd,Trichosanthes anguina L.
,Coriander,Coriandrum sativum L.
,Asparagus,Asparagus officinalis L.
,Common Name,Scientific Name
,Khol khol,Brassica oleracea var. gongylodes L.
,Lettuce,Lactuca sativa L.
,Pakchoy,Brassica rapa ssp. chinensis
,Sugar beet,Beta vulgaris L.
,Chinese cabbage,Brassica rapa ssp. pekinensis
Forages,Oats,Avena sativa L.
,White clover,Trifolium repens L.
,Barseem,Trifolium alexandrinum L.
,Rye grass,Lolium multiflorum Lam.
Fruits,Lime,Citrus aurantifolia (Christm.) Swingle
