S.No,Variety,Year of release_AD,Year of release_BS,Origin,Days to maturity,Average plant height,Yield,Recommended domain,Season grown,Status
1,Parwanipur-1,1973,,IRRI,135,,4,"Terai, inner Terai",Spring season,Denotified
2,IR-24,1975,,IRRI,135,,3.8,"Terai, inner Terai",Spring season,Denotified
3,Chandina,1977,,Bangladesh,128,,3.8,"Terai, inner Terai",Spring season,Denotified
4,Laxmi,1979,,IRRI,135,,4.5,"Terai, inner Terai",Spring season,Denotified
5,Mallika,1982,,Bangladesh,128,,4,"Terai, inner Terai",Spring season,Denotified
6,IR-8,1968,,IRRI,138,,4,Terai,Main season,Denotified
7,IR-20,1970,,IRRI,153,,4,Terai,Main season,Denotified
8,IR-22,1972,,IRRI,146,,3.5,Terai,Main season,Denotified
9,Jaya,1973,,India,130,,4.3,Terai,Main season,Denotified
10,Durga,1979,,India,130,,4.3,"Terai,innerTerai",Main season,Denotified
11,Barkhe-2,1987,,Indonesia,148,,4.3,"Terai, inner Terai",Main season,Denotified
12,Khajura-2,1987,,India,140,,3.8,Mid-western Terai (Banke),Main season,Denotified
13,DY 18,2010,,,118,,9.17,"Terai, inner Terai",,Denotified
14,DY 28,2010,,,120,,8.86,"Terai, inner Terai",,Denotified
15,DY 69,2010,,,125,,9.52,"Terai, Inner terai, Unirrigated areas of Terai, Mid hills (100 masl)",,Denotified
16,Barkhe-1027,2011,,,121,,3.3,"Hill (100 masl), Low hills and Unirrigated areas",,Denotified
17,Tara F1,2011,,,116,,5.1,"Terai, Inner Terai",,Denotified
18,Suraj F1,2011,,,123,,5.77,"Terai, Inner Terai",,Denotified
19,Prithivi F1,2011,,,124,,6,Terai and Inner Terai Irrigated land,,Denotified
20,Arise-6444 F1,2011,,,122,,4.43,Terai and Inner Terai Irrigated land,,Denotified
21,PHB-71 F1,2011,,,129,,5.26,Terai/Irrigated land,,Denotified
22,US-312 F1,2011,,,132,,5.46,"Sarlahi, Banke, Terai and Inner Terai",,Denotified
23,Champian F1,2011,,,136,,5.15,"Sarlahi, Banke, Terai and Inner Terai",,Denotified
24,Raja F1,2011,,,126,,4.94,"Sarlahi, Banke, Terai and Inner Terai",,Denotified
25,RH-257 F1,2011,,,123,,4.99,"Terai, Inner Terai",,Denotified
26,Gorakhnath-509 F1,2011,,,123,,4.82,"Terai, Inner Terai",,Denotified
27,Loknath-505 F1,2011,,,129,,4.79,"Terai and Inner Terai, irrigated area",,Denotified
28,PAC-801 F1,2011,,,123,,7.79,"Terai and Inner Terai, irrigated area",,Denotified
29,Reshma-786 F1,2011,,,120,,4.91,"East Terai, irrigated area",,Denotified
30,Baishali F1,2011,,,121,,6.35,"East Terai, irrigated area",,Denotified
31,CH-45,1966,2023,China,118,120,3.5,"Terai, inner Terai",Spring season,Recommended
32,Bindeswori,1981,2038,India,128,,4,"Terai, inner Terai",Spring season,Recommended
33,Chaite-2,1987,2044,IRRI,125,,4.8,"Terai, inner Terai",Spring season,Recommended
34,Chaite-4,1987,2044,IRRI,118,,4.5,"Terai, inner Terai",Spring season,Recommended
35,Chaite-6,1991,2048,Nepal,123,,4.8,"Terai, inner Terai",Spring season,Recommended
36,Hardinath-1,2004,2060,Srilanka,110,,5,"Terai, Inner Terai",Spring season,Recommended
37,Taichung-176,1966,2024,Taiwan,144,102,7.9,Mid-hills and valley,Main season,Recommended
38,Chainung-242,1966,2024,Taiwan,144,120,7.3,Mid-hills and valley,Main season,Recommended
39,Tainan-1,1966,2024,Taiwan,144,117,6.6,Mid-hills,Main season,Recommended
40,Chainan-2,1966,2024,Taiwan,143,102,7.8,Mid-hills,Main season,Recommended
41,Mansuli,1973,2030,Malaysia,155,140,3.5,"Terai, inner Terai",Main season,Recommended
42,Janaki,1979,2036,Srilanka,135,98,4.5,Terai inner Terai,Main season,Recommended
43,Sabitri,1979,2036,IRRI,140,95,4,"Terai, inner Terai",Main season,Recommended
44,Himali,1982,2039,IRRI,149,115,6.4,Mid-hills,Main season,Recommended
45,Kanchan,1982,2039,IRRI,143,115,7.6,Mid-hills,Main season,Recommended
46,Khumal-3,1983,2041,India,130,,6.5,Mid-hills,Main season,Recommended
47,Khumal-2,1987,2044,Nepal,142,130,5.6,Mid-hills,Main season,Recommended
48,Khumal-4,1987,2044,Nepal,144,137,6.3,Mid-hills,Main season,Recommended
49,Makwanpur-1,1987,2044,Srilanka,150,101,4.8,"Terai, inner Terai",Main season,Recommended
50,Ghaiya-2,1987,2044,India,113,75,3.4,"Terai, inner Terai",Main season,Recommended
51,Palung-2,1987,2044,Nepal,172,119,6.1,High hills,Main season,Recommended
52,Khumal-5,1990,2047,Nepal,154,113,6.7,Mid-hills,Main season,Recommended
53,Khumal-7,1990,2047,IRRI,146,102,7,Mid-hills,Main season,Recommended
54,Khumal-9,1991,2047,IRRI,148,103,6.7,Mid-hills,Main season,Recommended
55,Chhomrong local,1991,2047,Nepal,164,95,4.2,Eastern and western high hills,Main season,Recommended
56,Radha-7,1991,2048,Nepal,148,140,3.5,"Terai, inner Terai (rainfed)",Main season,Recommended
57,Radhakrishna-9,1991,2048,Nepal,150,139,3.8,"Terai, inner Terai (rainfed)",Main season,Recommended
58,Radha-4,1995,2052,IRRI,125,91,3.2,Mid-western and Far-western Terai,Main season,Recommended
59,Radha-11,1995,2052,India,148,120,4,Central Terai (rainfed),Main season,Recommended
60,Radha-12,1995,2052,India,155,115,4.6,Eastern Terai (irrigated/rainfed),Main season,Recommended
