Year,Production,Yield,Area,Production (Million MT)
1984/85,819850,1417,578720,0.81985
1985/86,873750,1421,614680,0.87375
1986/87,868350,1386,626710,0.86835
1987/88,901500,1338,673810,0.9015
1988/89,1071610,1484,721870,1.07161
1989/90,1200990,1599,751170,1.20099
1990/91,1230950,1624.566127,757710,1.23095
1991/92,1204710,1597.56793,754090,1.20471
1992/93,1290500,1664.688734,775220,1.2905
1993/94,1253830,1662.686199,754099,1.25383
1994/95,1302116,1687.968784,771410,1.302116
1995/96,1331060,1681.268157,791700,1.33106
1996/97,1316840,1659,793720,1.31684
1997/98,1367340,1711,799060,1.36734
1998/99,1345910,1678,802290,1.34591
1999/00,1445450,1765,819010,1.44545
2000/01,1484112,1800,824525,1.484112
2001/02,1510770.06,1829.06373,825980,1.51077006
2002/03,1569140,1877,836190,1.56914
2003/04,1590097,1906,834285,1.590097
2004/05,1716042,2019,849892,1.716042
2005/06,1734417.32,2038.220148,850947,1.73441732
2006/07,1819925,2091,870401,1.819925
2007/08,1878648,2159,870166,1.878648
2008/09,1930669,2205,875428,1.930669
2009/10,1855184,2118.612247,875660,1.855184
2010/11,2067522.01,2281.396045,906253,2.06752201
2011/12,2179413.61,2501.085752,871387,2.17941361
2012/13,1999010,2352.786785,849635,1.99901
2013/14,2283222,2458,928894.2229,2.283222
2014/15,2112661,2394.235008,882395,2.112661
2015/16,2231517,2502.870737,891583,2.231517
