Year,Crop,Region,Quantity
1960,Paddy,World,1.51E+11
1965,Paddy,World,1.73E+11
1970,Paddy,World,2.13E+11
1975,Paddy,World,2.43E+11
1980,Paddy,World,2.7E+11
1985,Paddy,World,3.18E+11
1990,Paddy,World,3.51E+11
1995,Paddy,World,3.69E+11
2000,Paddy,World,3.99E+11
2005,Paddy,World,4.17E+11
2010,Paddy,World,4.49E+11
2015,Paddy,World,4.8E+11
2018,Paddy,World,4.88E+11
1960,Paddy,Nepal,1359000
1965,Paddy,Nepal,1470000
1970,Paddy,Nepal,1535000
1975,Paddy,Nepal,1735000
1980,Paddy,Nepal,1641000
1985,Paddy,Nepal,1867000
1990,Paddy,Nepal,2335000
1995,Paddy,Nepal,2386000
2000,Paddy,Nepal,2811000
2005,Paddy,Nepal,2806000
2010,Paddy,Nepal,2973000
2015,Paddy,Nepal,2863000
2018,Paddy,Nepal,3330000
1960,Maize,World,2E+11
1965,Maize,World,2.25E+11
1970,Maize,World,2.68E+11
1975,Maize,World,3.39E+11
1980,Maize,World,4.09E+11
1985,Maize,World,4.79E+11
1990,Maize,World,4.82E+11
1995,Maize,World,5.16E+11
2000,Maize,World,5.91E+11
2005,Maize,World,7E+11
2010,Maize,World,8.29E+11
2015,Maize,World,9.87E+11
2018,Maize,World,1.036E+12
1960,Maize,Nepal,840000
1965,Maize,Nepal,856000
1970,Maize,Nepal,833000
1975,Maize,Nepal,748000
1980,Maize,Nepal,743000
1985,Maize,Nepal,874000
1990,Maize,Nepal,1231000
1995,Maize,Nepal,1331000
2000,Maize,Nepal,1484000
2005,Maize,Nepal,1734000
2010,Maize,Nepal,2068000
2015,Maize,Nepal,2145000
2018,Maize,Nepal,2550000
1960,Wheat,World,2.33E+11
1965,Wheat,World,2.59E+11
1970,Wheat,World,3.07E+11
1975,Wheat,World,3.53E+11
1980,Wheat,World,4.36E+11
1985,Wheat,World,4.95E+11
1990,Wheat,World,5.89E+11
1995,Wheat,World,5.39E+11
2000,Wheat,World,5.83E+11
2005,Wheat,World,6.19E+11
2010,Wheat,World,6.51E+11
2015,Wheat,World,7.35E+11
2018,Wheat,World,7.6E+11
1960,Wheat,Nepal,125000
1965,Wheat,Nepal,126000
1970,Wheat,Nepal,265000
1975,Wheat,Nepal,387000
1980,Wheat,Nepal,477000
1985,Wheat,Nepal,598000
1990,Wheat,Nepal,836000
1995,Wheat,Nepal,1013000
2000,Wheat,Nepal,1158000
2005,Wheat,Nepal,1394000
2010,Wheat,Nepal,1746000
2015,Wheat,Nepal,1737000
2018,Wheat,Nepal,1786000
