# Rice cultivars grown during past in Nepal in different regions,,,,
Domain,Cultivar,Characteristics,Districts,
Eastern Hill,Atte,"High milling percentage, fine grain, slow digested","Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Belgutte,"Very fine grain, fine texture, tall straw","Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Mansara,"Red hull, short straw, less sensitive to fertilizer status, less water requiring","Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Local basmati,"Long grain, aromatic","Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Halpudo,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Chirakhe,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Kalo Jhinuwa,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Chulthe,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Thapachini,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Kalo marsi,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Laure,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Chyure,Generates good quality beaten rice,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Anapasi,Very tasty,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Anadi,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Setharo,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Yakule,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Bhotange,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Kartike nyauli,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Bhangero,Early maturing,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Malidhan,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
Eastern Hill,Jamdar masino,,"Bhojpur, Sankhuwasabha, Khotang, Dhankuta",
